date;google_trends;apple_mobility
2020-05-16T00:00:00Z; 17,0; 46,21667
2020-05-17T00:00:00Z; 23,0; 31,93000
2020-05-18T00:00:00Z; 18,0; 44,15000
2020-05-19T00:00:00Z; 17,0; 46,34667
2020-05-20T00:00:00Z; 17,0; 46,80000
2020-05-21T00:00:00Z; 16,0; 47,30333
2020-05-22T00:00:00Z; 15,0; 51,11667
2020-05-23T00:00:00Z; 14,0; 46,50667
2020-05-24T00:00:00Z; 15,0; 31,95333
2020-05-25T00:00:00Z; 14,0; 43,17000
2020-05-26T00:00:00Z; 14,0; 48,07667
2020-05-27T00:00:00Z; 14,0; 48,70333
2020-05-28T00:00:00Z; 13,0; 50,09000
2020-05-29T00:00:00Z; 13,0; 55,06000
2020-05-30T00:00:00Z; 13,0; 52,71333
2020-05-31T00:00:00Z; 13,0; 36,43000
2020-06-01T00:00:00Z; 13,0; 49,22667
2020-06-02T00:00:00Z; 12,0; 51,64000
2020-06-03T00:00:00Z; 11,0; 53,51333
2020-06-04T00:00:00Z; 12,0; 53,81667
2020-06-05T00:00:00Z; 12,0; 59,93333
2020-06-06T00:00:00Z; 13,0; 57,11000
